rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
8840,801–1000,Kobe University,29.8–33.9,8840,33.3,399,25.2,553,38.5,1052,46.7,498,33.1,1162,Japan,15477,10.3,8%,36 : 64,Kobe University,"Education,Mechanical & Aerospace Engineering,Civil Engineering,History, Philosophy & Theology,Chemistry,Medicine & Dentistry,Physics & Astronomy,Law,Business & Management,Architecture,Computer Science,Sport Science,Art, Performing Arts & Design,Communication & Media Studies,Agriculture & Forestry,Accounting & Finance,General Engineering,Economics & Econometrics,Psychology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Chemical Engineering,Other Health,Geography,Sociology,Biological Sciences",FALSE,FALSE
8850,801–1000,Kurume University,29.8–33.9,8850,23,875,11,1393,60.5,656,39.4,1051,23.8,1524,Japan,5062,7.6,2%,,Kurume University,"Other Health,Medicine & Dentistry,Law,Accounting & Finance,Languages, Literature & Linguistics,Business & Management,Psychology",FALSE,FALSE
8860,801–1000,Kuwait University,29.8–33.9,8860,18.2,1316,10.2,1487,61.5,633,38.9,1133,68.5,363,Kuwait,24680,15.2,15%,76:24:00,Kuwait University,"Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Chemistry,Other Health,General Engineering,Psychology,Accounting & Finance,Chemical Engineering,Mathematics & Statistics,Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Biological Sciences,Geography,Education,Civil Engineering,Sociology,Computer Science,Business & Management,Law,Communication & Media Studies,Medicine & Dentistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",FALSE,FALSE
8870,801–1000,Kyungpook National University,29.8–33.9,8870,29.2,557,35.6,303,27.5,1260,88,81,44.2,827,South Korea,18892,20.2,13%,47:53:00,Kyungpook National University,"Business & Management,General Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Medicine & Dentistry,Mathematics & Statistics,Civil Engineering,Other Health,Architecture,Electrical & Electronic Engineering,Agriculture & Forestry,Economics & Econometrics,Veterinary Science,Accounting & Finance,Chemical Engineering,Chemistry,Art, Performing Arts & Design,Law,Sociology,Physics & Astronomy,Communication & Media Studies,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Sport Science,Archaeology,Geography,Education,Biological Sciences,History, Philosophy & Theology",FALSE,FALSE
8880,801–1000,University of Lahore,29.8–33.9,8880,15.3,1665,9.6,1560,65.3,568,37.5,1432,47.1,747,Pakistan,27149,14.8,2%,37 : 63,University of Lahore,"Agriculture & Forestry,Other Health,Sociology,Physics & Astronomy,Biological Sciences,Languages, Literature & Linguistics,Architecture,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Business & Management,Psychology,Economics & Econometrics,Communication & Media Studies,Accounting & Finance,Law,Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemistry,Art, Performing Arts & Design,Medicine & Dentistry,Computer Science,Electrical & Electronic Engineering,Education,Sport Science,Civil Engineering",FALSE,FALSE
8890,801–1000,Lakehead University,29.8–33.9,8890,18.3,1301,23,626,46.3,915,38.9,1134,57.6,517,Canada,8365,25.8,21%,55:45:00,Lakehead University,"Archaeology,Mathematics & Statistics,Agriculture & Forestry,Computer Science,Education,Physics & Astronomy,Medicine & Dentistry,Electrical & Electronic Engineering,Biological Sciences,Chemical Engineering,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Sport Science,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Business & Management,Accounting & Finance,Chemistry,General Engineering,Psychology,Other Health,Law,Geography,History, Philosophy & Theology,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Economics & Econometrics",FALSE,FALSE
8900,801–1000,University of La Laguna,29.8–33.9,8900,18.2,1317,14.2,1093,55.2,758,38.4,1211,47.9,720,Spain,18270,12.8,5%,58:42:00,University of La Laguna,"Sport Science,Education,Mathematics & Statistics,Architecture,Languages, Literature & Linguistics,Sociology,Business & Management,Civil Engineering,Other Health,History, Philosophy & Theology,Economics & Econometrics,Physics & Astronomy,Biological Sciences,Medicine & Dentistry,Accounting & Finance,Geography,Computer Science,Chemical Engineering,Communication & Media Studies,Agriculture & Forestry,Mechanical & Aerospace Engineering,Psychology,Art, Performing Arts & Design,Law,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Chemistry",FALSE,FALSE
8910,801–1000,University of Latvia,29.8–33.9,8910,18.6,1265,27.6,484,45.3,940,47,490,54.7,582,Latvia,11877,32.7,7%,68:32:00,University of Latvia,"Law,Communication & Media Studies,Sociology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Other Health,Politics & International Studies (incl Development Studies),Business & Management,Economics & Econometrics,Accounting & Finance,Geography,Biological Sciences,Physics & Astronomy,Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology,Sport Science,Mathematics & Statistics,History, Philosophy & Theology,Education,Medicine & Dentistry,Psychology",FALSE,FALSE
8920,801–1000,Leeds Beckett University,29.8–33.9,8920,16.7,1528,16.5,926,58.8,690,37.4,1474,57.3,523,United Kingdom,18945,20.3,13%,54:46:00,Leeds Beckett University Leeds  United Kingdom UK,"Psychology,Civil Engineering,Politics & International Studies (incl Development Studies),Education,Business & Management,Computer Science,Architecture,Other Health,Geography,Biological Sciences,Communication & Media Studies,Accounting & Finance,Economics & Econometrics,Law,Art, Performing Arts & Design,Electrical & Electronic Engineering,Languages, Literature & Linguistics,General Engineering,Sport Science,Sociology,History, Philosophy & Theology",FALSE,FALSE
8930,801–1000,Lithuanian University of Health Sciences,29.8–33.9,8930,21,1036,10.6,1440,60.7,652,37.4,1475,58.9,502,Lithuania,6167,8.6,22%,75:25:00,Lithuanian University of Health Sciences,"Veterinary Science,Medicine & Dentistry,Agriculture & Forestry,Chemistry,Biological Sciences,Psychology,Other Health",FALSE,FALSE
8940,801–1000,University of Ljubljana,29.8–33.9,8940,21.9,961,19.5,764,47.1,905,42.7,705,47.9,721,Slovenia,37615,13.1,8%,60:40:00,University of Ljubljana,"History, Philosophy & Theology,Electrical & Electronic Engineering,Chemistry,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Veterinary Science,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics,Accounting & Finance,Chemical Engineering,Physics & Astronomy,Art, Performing Arts & Design,Other Health,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Architecture,Education,Biological Sciences,Psychology,Archaeology,Mechanical & Aerospace Engineering,Economics & Econometrics,Law,Sociology,Computer Science,Sport Science,Geography",FALSE,FALSE
8950,801–1000,University of Lleida,29.8–33.9,8950,20.7,1061,19.5,765,49.1,866,41.9,762,42.2,894,Spain,9164,15.4,10%,59:41:00,University of Lleida,"General Engineering,Chemical Engineering,Communication & Media Studies,Art, Performing Arts & Design,Geography,Architecture,History, Philosophy & Theology,Education,Biological Sciences,Computer Science,Law,Mechanical & Aerospace Engineering,Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics,Other Health,Psychology,Veterinary Science,Sport Science,Medicine & Dentistry,Electrical & Electronic Engineering",FALSE,FALSE
8960,801–1000,Lovely Professional University,29.8–33.9,8960,18.2,1318,10.6,1441,66.8,542,38.1,1278,28.9,1306,India,33469,14.8,6%,24 : 76,Lovely Professional University,"Architecture,Chemical Engineering,History, Philosophy & Theology,Law,Chemistry,Languages, Literature & Linguistics,Business & Management,Geology, Environmental, Earth & Marine Sciences,Geography,Art, Performing Arts & Design,Education,Mechanical & Aerospace Engineering,Accounting & Finance,Civil Engineering,Biological Sciences,Economics & Econometrics,General Engineering,Physics & Astronomy,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Agriculture & Forestry,Psychology,Politics & International Studies (incl Development Studies),Computer Science,Sport Science,Communication & Media Studies,Sociology",FALSE,FALSE
8970,801–1000,Mae Fah Luang University,29.8–33.9,8970,15.5,1650,12.4,1247,58.8,691,38.8,1150,47,748,Thailand,13802,21,4%,73:27:00,Mae Fah Luang University,"Chemistry,Computer Science,Physics & Astronomy,Biological Sciences,Mathematics & Statistics,Medicine & Dentistry,Economics & Econometrics,Agriculture & Forestry,Education,Chemical Engineering,Politics & International Studies (incl Development Studies),Sport Science,Languages, Literature & Linguistics,Other Health,Accounting & Finance,Law,Business & Management",FALSE,FALSE
8980,801–1000,Mahidol University,29.8–33.9,8980,32.8,414,22.5,645,35.8,1095,69.8,194,45.7,779,Thailand,28477,9,5%,64:36:00,Mahidol University,"Mathematics & Statistics,Education,Geology, Environmental, Earth & Marine Sciences,Chemistry,Electrical & Electronic Engineering,Medicine & Dentistry,Other Health,Sociology,Economics & Econometrics,Physics & Astronomy,Civil Engineering,Veterinary Science,Politics & International Studies (incl Development Studies),Biological Sciences,General Engineering,Sport Science,Communication & Media Studies,Computer Science,Geography,History, Philosophy & Theology,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Art, Performing Arts & Design,Psychology,Mechanical & Aerospace Engineering",FALSE,FALSE
8990,801–1000,Makerere University,29.8–33.9,8990,21.8,973,27.7,481,34.5,1119,52.2,366,57.6,518,Uganda,31233,21,3%,51:49:00,Makerere University,"Psychology,Archaeology,Computer Science,Chemistry,Medicine & Dentistry,Biological Sciences,Communication & Media Studies,Law,Sociology,Architecture,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Civil Engineering,Business & Management,Agriculture & Forestry,Geography,Education,Sport Science,Economics & Econometrics,History, Philosophy & Theology,Electrical & Electronic Engineering,Physics & Astronomy,Accounting & Finance,General Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Chemical Engineering,Veterinary Science,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
9000,801–1000,Universiti Malaysia Pahang,29.8–33.9,9000,19.8,1146,18.2,837,58.7,692,39.6,1022,51.5,638,Malaysia,8140,13.3,7%,48:52:00,Universiti Malaysia Pahang,"Chemical Engineering,Civil Engineering,Sociology,Biological Sciences,Mathematics & Statistics,Computer Science,Geology, Environmental, Earth & Marine Sciences,General Engineering,Accounting & Finance,Economics & Econometrics,Physics & Astronomy,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Languages, Literature & Linguistics,Business & Management,Electrical & Electronic Engineering",FALSE,FALSE
9010,801–1000,University of Malta,29.8–33.9,9010,19.6,1160,16.7,911,53.4,789,37.5,1437,62.6,445,Malta,9687,10.7,13%,60:40:00,University of Malta,"Biological Sciences,Psychology,Education,Archaeology,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Business & Management,Physics & Astronomy,Civil Engineering,Accounting & Finance,Languages, Literature & Linguistics,Medicine & Dentistry,Electrical & Electronic Engineering,Agriculture & Forestry,Sociology,Art, Performing Arts & Design,Geography,Communication & Media Studies,Mathematics & Statistics,Law,Chemistry,Economics & Econometrics,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mechanical & Aerospace Engineering,Architecture,Sport Science",FALSE,FALSE
9020,801–1000,Manipal Academy of Higher Education,29.8–33.9,9020,40.9,214,17.8,849,32.6,1159,46.7,499,36.8,1048,India,23002,9,12%,49:51:00,Manipal Academy of Higher Education,"Architecture,Physics & Astronomy,Computer Science,Chemistry,Other Health,Communication & Media Studies,Chemical Engineering,Medicine & Dentistry,Civil Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Business & Management,Biological Sciences,Geography,Accounting & Finance,General Engineering,Mechanical & Aerospace Engineering",FALSE,FALSE
9030,801–1000,Marquette University,29.8–33.9,9030,37.5,291,16.6,918,37.9,1068,38.7,1161,25.6,1440,United States of America,10540,12,3%,57:43:00,Marquette University,"Economics & Econometrics,Sociology,Psychology,Mathematics & Statistics,Civil Engineering,Law,Business & Management,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Accounting & Finance,Chemical Engineering,Biological Sciences,Languages, Literature & Linguistics,General Engineering,Medicine & Dentistry,Physics & Astronomy,Sport Science,Education,Computer Science",FALSE,FALSE
9040,801–1000,Masaryk University,29.8–33.9,9040,23.9,817,29.7,432,34,1131,38.1,1279,66.7,385,Czech Republic,32271,18.9,23%,62:38:00,Masaryk University,"Art, Performing Arts & Design,Computer Science,Agriculture & Forestry,Chemistry,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Geography,Business & Management,Archaeology,Sociology,Mathematics & Statistics,Languages, Literature & Linguistics,Sport Science,Chemical Engineering,Other Health,Accounting & Finance,Physics & Astronomy,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Law,Education,History, Philosophy & Theology,Biological Sciences,Economics & Econometrics,Psychology",FALSE,FALSE
9050,801–1000,Medical University of Gdańsk,29.8–33.9,9050,25.3,721,9.3,1606,55.7,750,37,1686,41.9,905,Poland,6344,5.6,16%,65:35:00,Medical University of Gdańsk,"Medicine & Dentistry,Biological Sciences,Other Health,Chemistry",FALSE,FALSE
9060,801–1000,University of Memphis,29.8–33.9,9060,29.3,554,17.7,852,42.2,983,37.2,1572,29.9,1274,United States of America,16520,14.7,5%,60:40:00,University of Memphis,"Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Mechanical & Aerospace Engineering,Psychology,Economics & Econometrics,Law,Sociology,Accounting & Finance,Chemistry,History, Philosophy & Theology,Electrical & Electronic Engineering,Geography,Architecture,Languages, Literature & Linguistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,General Engineering,Communication & Media Studies,Computer Science,Biological Sciences,Other Health,Mathematics & Statistics,Business & Management,Sport Science",FALSE,FALSE
9070,801–1000,University of Minho,29.8–33.9,9070,24.4,790,28.9,451,38.8,1044,58.9,283,57.6,519,Portugal,19922,19.6,16%,55:45:00,University of Minho,"Medicine & Dentistry,Mathematics & Statistics,Business & Management,General Engineering,Geography,Civil Engineering,Physics & Astronomy,Economics & Econometrics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Computer Science,Chemistry,History, Philosophy & Theology,Other Health,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Law,Psychology,Architecture,Chemical Engineering,Agriculture & Forestry,Archaeology,Education,Biological Sciences,Sociology,Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies",FALSE,FALSE
9080,801–1000,Mississippi State University,29.8–33.9,9080,22.8,891,18.5,818,44.9,944,40.6,882,41.6,915,United States of America,21810,15.2,3%,52:48:00,Mississippi State University,"Medicine & Dentistry,Mechanical & Aerospace Engineering,Sociology,Business & Management,Sport Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Civil Engineering,Psychology,Architecture,Electrical & Electronic Engineering,Veterinary Science,Economics & Econometrics,Agriculture & Forestry,Geography,General Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Education,Chemistry,Other Health,Biological Sciences,Communication & Media Studies,Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,History, Philosophy & Theology,Computer Science,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
9090,801–1000,University of Missouri-St Louis,29.8–33.9,9090,33.1,406,18.8,806,44.2,953,47.4,474,41.7,912,United States of America,6365,15.8,5%,58:42:00,University of Missouri-St Louis,"Art, Performing Arts & Design,Mathematics & Statistics,Archaeology,Physics & Astronomy,History, Philosophy & Theology,Civil Engineering,Computer Science,Economics & Econometrics,Sociology,Accounting & Finance,Electrical & Electronic Engineering,Chemistry,Business & Management,Mechanical & Aerospace Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Psychology,Other Health,Education,Biological Sciences,Politics & International Studies (incl Development Studies)",FALSE,FALSE
9100,801–1000,Montana State University,29.8–33.9,9100,21,1037,17.7,853,57.6,708,45.5,543,36.9,1045,United States of America,14094,16,3%,47:53:00,Montana State University,"Chemical Engineering,Architecture,Economics & Econometrics,Civil Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Medicine & Dentistry,Sociology,Chemistry,Mathematics & Statistics,Electrical & Electronic Engineering,Other Health,Veterinary Science,Psychology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Physics & Astronomy,Business & Management,Agriculture & Forestry,Education,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Computer Science,Sport Science,History, Philosophy & Theology,Accounting & Finance,General Engineering",FALSE,FALSE
9110,801–1000,Monterrey Institute of Technology,29.8–33.9,9110,20.4,1090,19.6,759,52.3,811,60.9,265,57.7,515,Mexico,15735,14.3,10%,43:57:00,Monterrey Institute of Technology Tecnológico de Monterrey Instituto Tecnológico y de Estudios Superiores de Monterrey ITESM,"Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Biological Sciences,Physics & Astronomy,Computer Science,Medicine & Dentistry,Agriculture & Forestry,Chemistry,Mathematics & Statistics,General Engineering,Communication & Media Studies,Architecture,Education,Business & Management,Economics & Econometrics,Sociology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Psychology,History, Philosophy & Theology,Other Health,Politics & International Studies (incl Development Studies),Chemical Engineering,Law,Accounting & Finance",FALSE,FALSE
9120,801–1000,University of Namur,29.8–33.9,9120,20.6,1074,21.2,702,46.5,913,45,566,67.9,370,Belgium,6753,20.8,12%,57:43:00,University of Namur,"History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Physics & Astronomy,Veterinary Science,Communication & Media Studies,Accounting & Finance,Chemistry,Law,Geography,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Other Health,Computer Science,Archaeology,Economics & Econometrics,Mathematics & Statistics,Biological Sciences,Languages, Literature & Linguistics,Business & Management",FALSE,FALSE
9130,801–1000,Nanjing Forestry University,29.8–33.9,9130,16.6,1542,9.3,1607,67.5,531,41.1,833,22.7,1588,China,32318,17.6,1%,,Nanjing Forestry University,"Agriculture & Forestry,Electrical & Electronic Engineering,Biological Sciences,Business & Management,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Civil Engineering,Chemical Engineering,Languages, Literature & Linguistics",FALSE,FALSE
9140,801–1000,Nanjing University of Information Science and Technology,29.8–33.9,9140,17.7,1393,16.1,949,61,647,44.2,600,33.6,1145,China,33008,16.7,3%,,Nanjing University of Information Science and Technology,"Electrical & Electronic Engineering,Agriculture & Forestry,Languages, Literature & Linguistics,Mathematics & Statistics,Business & Management,Chemistry,Accounting & Finance,Physics & Astronomy,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Economics & Econometrics,General Engineering,Art, Performing Arts & Design,Law,Computer Science,Communication & Media Studies,Education",FALSE,FALSE
9150,801–1000,Nanjing Normal University,29.8–33.9,9150,21.7,978,13.7,1124,58.7,693,52.7,360,24.9,1469,China,31211,13,2%,70:30:00,Nanjing Normal University,"Chemical Engineering,Physics & Astronomy,Education,Sociology,Business & Management,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Agriculture & Forestry,Mathematics & Statistics,Accounting & Finance,Biological Sciences,Psychology,History, Philosophy & Theology,Computer Science,Sport Science,Archaeology,General Engineering,Communication & Media Studies,Economics & Econometrics,Chemistry,Geography,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Law",FALSE,FALSE
9160,801–1000,Nanjing Tech University,29.8–33.9,9160,19.1,1206,13.7,1125,58.9,688,61.3,259,30.1,1268,China,38866,13.5,3%,,Nanjing Tech University,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Civil Engineering,Mechanical & Aerospace Engineering,Sport Science,Chemistry,Architecture,Accounting & Finance,Law,Physics & Astronomy,Computer Science,General Engineering,Chemical Engineering,Biological Sciences,Business & Management,Mathematics & Statistics",FALSE,FALSE
9170,801–1000,National Institute of Applied Sciences of Lyon (INSA Lyon),29.8–33.9,9170,32.4,432,22.9,628,30.8,1193,77.4,140,70.8,337,France,6382,18.9,27%,36 : 64,National Institute of Applied Sciences of Lyon (INSA Lyon),"Electrical & Electronic Engineering,Computer Science,Civil Engineering,Biological Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering",FALSE,FALSE
9180,801–1000,École Nationale des Travaux Publics de l'État (ENTPE),29.8–33.9,9180,31.3,475,34.7,314,24.9,1311,77.2,144,62.1,451,France,809,15.3,13%,42:58:00,École Nationale des Travaux Publics de l'État (ENTPE),"Mechanical & Aerospace Engineering,Mathematics & Statistics,Geography,General Engineering,Sociology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies)",FALSE,FALSE
9190,801–1000,National University of Sciences and Technology,29.8–33.9,9190,21.5,1000,17.7,854,50.9,836,39.2,1082,47.4,736,Pakistan,11737,9.4,5%,34 : 66,National University of Sciences and Technology,"Communication & Media Studies,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Electrical & Electronic Engineering,Education,Physics & Astronomy,Architecture,Business & Management,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Chemistry,General Engineering,Mathematics & Statistics,Psychology,Computer Science,Mechanical & Aerospace Engineering,Other Health,Biological Sciences,Accounting & Finance,Law,Economics & Econometrics",FALSE,FALSE
9200,801–1000,National Sun Yat-Sen University,29.8–33.9,9200,25.1,738,33.2,344,27.1,1268,54.8,326,44.3,825,Taiwan,8150,12.3,8%,40 : 60,National Sun Yat-Sen University,"Chemistry,Politics & International Studies (incl Development Studies),Computer Science,Business & Management,Physics & Astronomy,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Languages, Literature & Linguistics,Accounting & Finance,Education,Psychology,Mechanical & Aerospace Engineering,Economics & Econometrics,Agriculture & Forestry,Mathematics & Statistics,General Engineering,Sociology,Art, Performing Arts & Design,Communication & Media Studies,History, Philosophy & Theology,Chemical Engineering,Biological Sciences,Other Health,Architecture,Law,Geography",FALSE,FALSE
9210,801–1000,National Taiwan Normal University,29.8–33.9,9210,28,602,34.4,319,28.8,1238,74.4,161,51.8,630,Taiwan,10699,12.2,16%,,National Taiwan Normal University ntnu,"Geography,Chemical Engineering,Sociology,Sport Science,Languages, Literature & Linguistics,Communication & Media Studies,Accounting & Finance,Politics & International Studies (incl Development Studies),Psychology,Education,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,General Engineering,Other Health,Economics & Econometrics,Mathematics & Statistics,Computer Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Chemistry,Biological Sciences,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy",FALSE,FALSE
9220,801–1000,National Technical University of Athens,29.8–33.9,9220,23.3,852,21.6,678,43.9,956,99.1,25,38.1,1011,Greece,13732,19.9,6%,33 : 67,National Technical University of Athens,"Architecture,Biological Sciences,Computer Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry,Chemical Engineering,General Engineering,Geography,Electrical & Electronic Engineering,Civil Engineering",FALSE,FALSE
9230,801–1000,National Institute of Technology Hamirpur,29.8–33.9,9230,17,1492,16.6,919,72.1,457,39.2,1083,14.9,1798,India,3823,20.7,0%,0.970833333,National Institute of Technology Hamirpur,"Computer Science,Communication & Media Studies,Architecture,Chemistry,Mathematics & Statistics,Business & Management,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Economics & Econometrics,General Engineering,Electrical & Electronic Engineering",FALSE,FALSE
9240,801–1000,"National Institute of Technology, Tiruchirappalli",29.8–33.9,9240,30.2,517,15.9,964,49.8,858,39.2,1084,17.6,1759,India,7037,18.5,2%,1.011805556,"National Institute of Technology, Tiruchirappalli","General Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Business & Management,Mathematics & Statistics,Chemistry,Civil Engineering,Physics & Astronomy,Architecture,Electrical & Electronic Engineering,Chemical Engineering,Computer Science",FALSE,FALSE
9250,801–1000,The New School,29.8–33.9,9250,25.2,731,14.5,1067,47.2,901,37,1688,53,607,United States of America,9692,9.7,35%,74:26:00,The New School,"Computer Science,Art, Performing Arts & Design,Architecture,Education,Sociology,Languages, Literature & Linguistics,Communication & Media Studies,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Biological Sciences,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Business & Management,Psychology",FALSE,FALSE
9260,801–1000,New Mexico State University (Main campus),29.8–33.9,9260,23.2,862,22.2,659,44.8,946,39.9,983,37.5,1029,United States of America,12285,16,6%,58:42:00,New Mexico State University (Main campus),"Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Chemistry,Politics & International Studies (incl Development Studies),Geography,Computer Science,Electrical & Electronic Engineering,Civil Engineering,Other Health,Mathematics & Statistics,Sociology,Communication & Media Studies,Chemical Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Sport Science,Psychology,Agriculture & Forestry,Biological Sciences,General Engineering,Economics & Econometrics,Medicine & Dentistry,Mechanical & Aerospace Engineering,Business & Management,Art, Performing Arts & Design,Education,Physics & Astronomy",FALSE,FALSE
9270,801–1000,Nippon Medical School,29.8–33.9,9270,26.8,660,9.5,1578,64.4,582,37.3,1522,18.4,1731,Japan,905,0.9,0%,37 : 63,Nippon Medical School,Medicine & Dentistry,FALSE,FALSE
9280,801–1000,University of North Carolina at Greensboro,29.8–33.9,9280,25.1,739,19,798,48.3,885,37.3,1523,25.9,1429,United States of America,18637,19.5,3%,67:33:00,University of North Carolina at Greensboro,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Art, Performing Arts & Design,Law,Sociology,Biological Sciences,Geography,Economics & Econometrics,Medicine & Dentistry,Psychology,Computer Science,Mathematics & Statistics,History, Philosophy & Theology,Education,Physics & Astronomy,Languages, Literature & Linguistics,Chemistry,Archaeology,Accounting & Finance,Sport Science,Business & Management,Other Health",FALSE,FALSE
9290,801–1000,"Northeastern University, China",29.8–33.9,9290,27.1,646,24.8,564,31.3,1182,93,55,37.3,1034,China,39155,14.8,2%,,"Northeastern University, China","Art, Performing Arts & Design,Chemistry,Other Health,Business & Management,Sociology,Medicine & Dentistry,Law,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,General Engineering,Sport Science,Education,Computer Science,Communication & Media Studies,Civil Engineering,Biological Sciences,Architecture,Mechanical & Aerospace Engineering,Physics & Astronomy,Mathematics & Statistics",FALSE,FALSE
9300,801–1000,Northeast Normal University,29.8–33.9,9300,25,747,13.9,1112,54.6,770,40.2,932,25,1463,China,30310,18.7,4%,70:30:00,Northeast Normal University,"Biological Sciences,Law,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Geography,Psychology,Mathematics & Statistics,Education,Physics & Astronomy,Accounting & Finance,Communication & Media Studies,History, Philosophy & Theology,Sociology,Art, Performing Arts & Design,Chemistry,Sport Science,Business & Management,Languages, Literature & Linguistics",FALSE,FALSE
